year,month,state,no_of_fires,date
2009,May,alagoas,0,1/1/2009
2010,May,alagoas,0,1/1/2010
2011,May,alagoas,0,1/1/2011
2012,May,alagoas,21,1/1/2012
2013,May,alagoas,2,1/1/2013
2014,May,alagoas,1,1/1/2014
2015,May,alagoas,18,1/1/2015
2016,May,alagoas,4,1/1/2016
2017,May,alagoas,1,1/1/2017
1998,Jun,alagoas,0,1/1/1998
1999,Jun,alagoas,0,1/1/1999
2000,Jun,alagoas,0,1/1/2000
2001,Jun,alagoas,2,1/1/2001
2002,Jun,alagoas,0,1/1/2002
2003,Jun,alagoas,0,1/1/2003
2004,Jun,alagoas,0,1/1/2004
2005,Jun,alagoas,0,1/1/2005
2006,Jun,alagoas,0,1/1/2006
2007,Jun,alagoas,0,1/1/2007
2008,Jun,alagoas,0,1/1/2008
2009,Jun,alagoas,0,1/1/2009
2010,Jun,alagoas,0,1/1/2010
2011,Jun,alagoas,2,1/1/2011
2012,Jun,alagoas,4,1/1/2012
2013,Jun,alagoas,1,1/1/2013
2014,Jun,alagoas,2,1/1/2014
2015,Jun,alagoas,2,1/1/2015
2016,Jun,alagoas,5,1/1/2016
2017,Jun,alagoas,2,1/1/2017
1998,Jul,alagoas,0,1/1/1998
1999,Jul,alagoas,0,1/1/1999
2000,Jul,alagoas,0,1/1/2000
2001,Jul,alagoas,0,1/1/2001
2002,Jul,alagoas,5,1/1/2002
2003,Jul,alagoas,0,1/1/2003
2004,Jul,alagoas,0,1/1/2004
2005,Jul,alagoas,0,1/1/2005
2006,Jul,alagoas,0,1/1/2006
2007,Jul,alagoas,0,1/1/2007
2008,Jul,alagoas,0,1/1/2008
2009,Jul,alagoas,0,1/1/2009
2010,Jul,alagoas,2,1/1/2010
2011,Jul,alagoas,0,1/1/2011
2012,Jul,alagoas,0,1/1/2012
2013,Jul,alagoas,0,1/1/2013
2014,Jul,alagoas,1,1/1/2014
2015,Jul,alagoas,0,1/1/2015
2016,Jul,alagoas,3,1/1/2016
2017,Jul,alagoas,0,1/1/2017
1998,Aug,alagoas,1,1/1/1998
1999,Aug,alagoas,3,1/1/1999
2000,Aug,alagoas,4,1/1/2000
2001,Aug,alagoas,1,1/1/2001
2002,Aug,alagoas,3,1/1/2002
2003,Aug,alagoas,2,1/1/2003
2004,Aug,alagoas,2,1/1/2004
2005,Aug,alagoas,2,1/1/2005
2006,Aug,alagoas,1,1/1/2006
2007,Aug,alagoas,3,1/1/2007
2008,Aug,alagoas,1,1/1/2008
2009,Aug,alagoas,0,1/1/2009
2010,Aug,alagoas,1,1/1/2010
2011,Aug,alagoas,4,1/1/2011
2012,Aug,alagoas,0,1/1/2012
2013,Aug,alagoas,0,1/1/2013
2014,Aug,alagoas,3,1/1/2014
2015,Aug,alagoas,3,1/1/2015
2016,Aug,alagoas,5,1/1/2016
2017,Aug,alagoas,1,1/1/2017
1998,Sep,alagoas,14,1/1/1998
1999,Sep,alagoas,3,1/1/1999
2000,Sep,alagoas,22,1/1/2000
2001,Sep,alagoas,5,1/1/2001
2002,Sep,alagoas,14,1/1/2002
2003,Sep,alagoas,8,1/1/2003
2004,Sep,alagoas,5,1/1/2004
2005,Sep,alagoas,7,1/1/2005
2006,Sep,alagoas,4,1/1/2006
2007,Sep,alagoas,2,1/1/2007
2008,Sep,alagoas,9,1/1/2008
2009,Sep,alagoas,13,1/1/2009
2010,Sep,alagoas,5,1/1/2010
2011,Sep,alagoas,5,1/1/2011
2012,Sep,alagoas,6,1/1/2012
2013,Sep,alagoas,4,1/1/2013
2014,Sep,alagoas,11,1/1/2014
2015,Sep,alagoas,7,1/1/2015
2016,Sep,alagoas,18,1/1/2016
2017,Sep,alagoas,4,1/1/2017
1998,Oct,alagoas,20,1/1/1998
1999,Oct,alagoas,4,1/1/1999
2000,Oct,alagoas,13,1/1/2000
2001,Oct,alagoas,15,1/1/2001
2002,Oct,alagoas,30,1/1/2002
2003,Oct,alagoas,10,1/1/2003
2004,Oct,alagoas,12,1/1/2004
2005,Oct,alagoas,17,1/1/2005
2006,Oct,alagoas,32,1/1/2006
2007,Oct,alagoas,6,1/1/2007
2008,Oct,alagoas,18,1/1/2008
2009,Oct,alagoas,30,1/1/2009
2010,Oct,alagoas,16,1/1/2010
2011,Oct,alagoas,23,1/1/2011
2012,Oct,alagoas,28,1/1/2012
2013,Oct,alagoas,25,1/1/2013
2014,Oct,alagoas,7,1/1/2014
2015,Oct,alagoas,40,1/1/2015
2016,Oct,alagoas,74,1/1/2016
2017,Oct,alagoas,14,1/1/2017
1998,Nov,alagoas,19,1/1/1998
1999,Nov,alagoas,15,1/1/1999
2000,Nov,alagoas,2,1/1/2000
2001,Nov,alagoas,22,1/1/2001
2002,Nov,alagoas,,1/1/2002
2003,Nov,alagoas,17,1/1/2003
2004,Nov,alagoas,28,1/1/2004
2005,Nov,alagoas,25,1/1/2005
2006,Nov,alagoas,12,1/1/2006
2007,Nov,alagoas,15,1/1/2007
2008,Nov,alagoas,37,1/1/2008
2009,Nov,alagoas,55,1/1/2009
2010,Nov,alagoas,31,1/1/2010
2011,Nov,alagoas,23,1/1/2011
2012,Nov,alagoas,95,1/1/2012
2013,Nov,alagoas,10,1/1/2013
2014,Nov,alagoas,14,1/1/2014
2015,Nov,alagoas,162,1/1/2015
2016,Nov,alagoas,76,1/1/2016
2017,Nov,alagoas,10,1/1/2017
1998,Dec,alagoas,32,1/1/1998
1999,Dec,alagoas,12,1/1/1999
2000,Dec,alagoas,2,1/1/2000
2001,Dec,alagoas,30,1/1/2001
2002,Dec,alagoas,95,1/1/2002
2003,Dec,alagoas,43,1/1/2003
