year,month,state,no_of_fires,date
2016,Oct,Amapa,793,1/1/2016
2017,Oct,Amapa,,1/1/2017
1998,Nov,Amapa,131,1/1/1998
1999,Nov,Amapa,26,1/1/1999
2000,Nov,Amapa,157,1/1/2000
2001,Nov,Amapa,406,1/1/2001
2002,Nov,Amapa,1.096,1/1/2002
2003,Nov,Amapa,750,1/1/2003
2004,Nov,Amapa,949,1/1/2004
2005,Nov,Amapa,685,1/1/2005
2006,Nov,Amapa,207,1/1/2006
2007,Nov,Amapa,198,1/1/2007
2008,Nov,Amapa,266,1/1/2008
2009,Nov,Amapa,1.019,1/1/2009
2010,Nov,Amapa,339,1/1/2010
2011,Nov,Amapa,282,1/1/2011
2012,Nov,Amapa,969,1/1/2012
2013,Nov,Amapa,341,1/1/2013
2014,Nov,Amapa,484,1/1/2014
2015,Nov,Amapa,1.3,1/1/2015
2016,Nov,Amapa,1.161,1/1/2016
2017,Nov,Amapa,858,1/1/2017
1998,Dec,Amapa,84,1/1/1998
1999,Dec,Amapa,41,1/1/1999
2000,Dec,Amapa,30,1/1/2000
2001,Dec,Amapa,593,1/1/2001
2002,Dec,Amapa,200,1/1/2002
2003,Dec,Amapa,411,1/1/2003
2004,Dec,Amapa,,1/1/2004
2005,Dec,Amapa,38,1/1/2005
2006,Dec,Amapa,74,1/1/2006
2007,Dec,Amapa,14,1/1/2007
2008,Dec,Amapa,32,1/1/2008
2009,Dec,Amapa,123,1/1/2009
2010,Dec,Amapa,43,1/1/2010
2011,Dec,Amapa,360,1/1/2011
2012,Dec,Amapa,422,1/1/2012
2013,Dec,Amapa,148,1/1/2013
2014,Dec,Amapa,354,1/1/2014
2015,Dec,Amapa,269,1/1/2015
2016,Dec,Amapa,491,1/1/2016
1998,Jan,Amazonas,0,1/1/1998
1999,Jan,Amazonas,3,1/1/1999
2000,Jan,Amazonas,7,1/1/2000
2001,Jan,Amazonas,3,1/1/2001
2002,Jan,Amazonas,17,1/1/2002
2003,Jan,Amazonas,158,1/1/2003
2004,Jan,Amazonas,123,1/1/2004
2005,Jan,Amazonas,44,1/1/2005
2006,Jan,Amazonas,20,1/1/2006
2007,Jan,Amazonas,37,1/1/2007
2008,Jan,Amazonas,16,1/1/2008
2009,Jan,Amazonas,9,1/1/2009
2010,Jan,Amazonas,82,1/1/2010
2011,Jan,Amazonas,53,1/1/2011
2012,Jan,Amazonas,6,1/1/2012
2013,Jan,Amazonas,37,1/1/2013
2014,Jan,Amazonas,46,1/1/2014
2015,Jan,Amazonas,35,1/1/2015
2016,Jan,Amazonas,770,1/1/2016
2017,Jan,Amazonas,65,1/1/2017
1998,Feb,Amazonas,0,1/1/1998
1999,Feb,Amazonas,43,1/1/1999
2000,Feb,Amazonas,62,1/1/2000
2001,Feb,Amazonas,8,1/1/2001
2002,Feb,Amazonas,2,1/1/2002
2003,Feb,Amazonas,62,1/1/2003
2004,Feb,Amazonas,92,1/1/2004
2005,Feb,Amazonas,6,1/1/2005
2006,Feb,Amazonas,10,1/1/2006
2007,Feb,Amazonas,92,1/1/2007
2008,Feb,Amazonas,32,1/1/2008
2009,Feb,Amazonas,3,1/1/2009
2010,Feb,Amazonas,81,1/1/2010
2011,Feb,Amazonas,30,1/1/2011
2012,Feb,Amazonas,25,1/1/2012
2013,Feb,Amazonas,16,1/1/2013
2014,Feb,Amazonas,49,1/1/2014
2015,Feb,Amazonas,107,1/1/2015
2016,Feb,Amazonas,275,1/1/2016
2017,Feb,Amazonas,52,1/1/2017
1998,Mar,Amazonas,0,1/1/1998
1999,Mar,Amazonas,7,1/1/1999
2000,Mar,Amazonas,69,1/1/2000
2001,Mar,Amazonas,6,1/1/2001
2002,Mar,Amazonas,5,1/1/2002
2003,Mar,Amazonas,64,1/1/2003
2004,Mar,Amazonas,6,1/1/2004
2005,Mar,Amazonas,12,1/1/2005
2006,Mar,Amazonas,20,1/1/2006
2007,Mar,Amazonas,6,1/1/2007
2008,Mar,Amazonas,,1/1/2008
2009,Mar,Amazonas,11,1/1/2009
2010,Mar,Amazonas,116,1/1/2010
2011,Mar,Amazonas,,1/1/2011
2012,Mar,Amazonas,17,1/1/2012
2013,Mar,Amazonas,49,1/1/2013
2014,Mar,Amazonas,50,1/1/2014
2015,Mar,Amazonas,46,1/1/2015
2016,Mar,Amazonas,140,1/1/2016
2017,Mar,Amazonas,45,1/1/2017
1998,Apr,Amazonas,0,1/1/1998
1999,Apr,Amazonas,2,1/1/1999
2000,Apr,Amazonas,18,1/1/2000
2001,Apr,Amazonas,1,1/1/2001
2002,Apr,Amazonas,2,1/1/2002
2003,Apr,Amazonas,11,1/1/2003
2004,Apr,Amazonas,4,1/1/2004
2005,Apr,Amazonas,5,1/1/2005
2006,Apr,Amazonas,5,1/1/2006
2007,Apr,Amazonas,0,1/1/2007
2008,Apr,Amazonas,13,1/1/2008
2009,Apr,Amazonas,1,1/1/2009
2010,Apr,Amazonas,11,1/1/2010
2011,Apr,Amazonas,,1/1/2011
2012,Apr,Amazonas,3,1/1/2012
2013,Apr,Amazonas,,1/1/2013
2014,Apr,Amazonas,25,1/1/2014
2015,Apr,Amazonas,24,1/1/2015
2016,Apr,Amazonas,22,1/1/2016
2017,Apr,Amazonas,20,1/1/2017
1998,May,Amazonas,0,1/1/1998
1999,May,Amazonas,0,1/1/1999
2000,May,Amazonas,51,1/1/2000
2001,May,Amazonas,0,1/1/2001
2002,May,Amazonas,8,1/1/2002
2003,May,Amazonas,2,1/1/2003
2004,May,Amazonas,0,1/1/2004
2005,May,Amazonas,8,1/1/2005
2006,May,Amazonas,4,1/1/2006
2007,May,Amazonas,0,1/1/2007
2008,May,Amazonas,1,1/1/2008
2009,May,Amazonas,3,1/1/2009
2010,May,Amazonas,13,1/1/2010
2011,May,Amazonas,6,1/1/2011
2012,May,Amazonas,12,1/1/2012
2013,May,Amazonas,19,1/1/2013
2014,May,Amazonas,12,1/1/2014
2015,May,Amazonas,10,1/1/2015
2016,May,Amazonas,30,1/1/2016
2017,May,Amazonas,40,1/1/2017
1998,Jun,Amazonas,2,1/1/1998
1999,Jun,Amazonas,7,1/1/1999
2000,Jun,Amazonas,6,1/1/2000
2001,Jun,Amazonas,5,1/1/2001
2002,Jun,Amazonas,5,1/1/2002
2003,Jun,Amazonas,3,1/1/2003
2004,Jun,Amazonas,12,1/1/2004
2005,Jun,Amazonas,78,1/1/2005
2006,Jun,Amazonas,9,1/1/2006
2007,Jun,Amazonas,23,1/1/2007
2008,Jun,Amazonas,7,1/1/2008
2009,Jun,Amazonas,13,1/1/2009
2010,Jun,Amazonas,9,1/1/2010
2011,Jun,Amazonas,22,1/1/2011
2012,Jun,Amazonas,45,1/1/2012
2013,Jun,Amazonas,56,1/1/2013
2014,Jun,Amazonas,74,1/1/2014
2015,Jun,Amazonas,33,1/1/2015
2016,Jun,Amazonas,90,1/1/2016
2017,Jun,Amazonas,119,1/1/2017
1998,Jul,Amazonas,71,1/1/1998
1999,Jul,Amazonas,11,1/1/1999
2000,Jul,Amazonas,39,1/1/2000
2001,Jul,Amazonas,9,1/1/2001
2002,Jul,Amazonas,146,1/1/2002
2003,Jul,Amazonas,180,1/1/2003
2004,Jul,Amazonas,177,1/1/2004
2005,Jul,Amazonas,676,1/1/2005
2006,Jul,Amazonas,123,1/1/2006
2007,Jul,Amazonas,116,1/1/2007
2008,Jul,Amazonas,108,1/1/2008
2009,Jul,Amazonas,199,1/1/2009
2010,Jul,Amazonas,640,1/1/2010
2011,Jul,Amazonas,271,1/1/2011
2012,Jul,Amazonas,234,1/1/2012
2013,Jul,Amazonas,248,1/1/2013
2014,Jul,Amazonas,202,1/1/2014
2015,Jul,Amazonas,356,1/1/2015
2016,Jul,Amazonas,1.137,1/1/2016
2017,Jul,Amazonas,1.975,1/1/2017
1998,Aug,Amazonas,321,1/1/1998
1999,Aug,Amazonas,259,1/1/1999
2000,Aug,Amazonas,180,1/1/2000
2001,Aug,Amazonas,501,1/1/2001
2002,Aug,Amazonas,741,1/1/2002
2003,Aug,Amazonas,1.867,1/1/2003
2004,Aug,Amazonas,1.207,1/1/2004
2005,Aug,Amazonas,2.316,1/1/2005
2006,Aug,Amazonas,1.422,1/1/2006
2007,Aug,Amazonas,2.241,1/1/2007
2008,Aug,Amazonas,861,1/1/2008
2009,Aug,Amazonas,1.321,1/1/2009
2010,Aug,Amazonas,3.727,1/1/2010
2011,Aug,Amazonas,1.243,1/1/2011
2012,Aug,Amazonas,3.011,1/1/2012
2013,Aug,Amazonas,1.276,1/1/2013
2014,Aug,Amazonas,3.852,1/1/2014
2015,Aug,Amazonas,4.564,1/1/2015
2016,Aug,Amazonas,3.611,1/1/2016
2017,Aug,Amazonas,6.316,1/1/2017
1998,Sep,Amazonas,267,1/1/1998
1999,Sep,Amazonas,216,1/1/1999
2000,Sep,Amazonas,189,1/1/2000
2001,Sep,Amazonas,166,1/1/2001
2002,Sep,Amazonas,928,1/1/2002
2003,Sep,Amazonas,1.401,1/1/2003
2004,Sep,Amazonas,911,1/1/2004
2005,Sep,Amazonas,2.812,1/1/2005
2006,Sep,Amazonas,2.218,1/1/2006
2007,Sep,Amazonas,1.36,1/1/2007
2008,Sep,Amazonas,998,1/1/2008
2009,Sep,Amazonas,3.091,1/1/2009
2010,Sep,Amazonas,2.781,1/1/2010
2011,Sep,Amazonas,1.295,1/1/2011
2012,Sep,Amazonas,2.392,1/1/2012
2013,Sep,Amazonas,1.739,1/1/2013
2014,Sep,Amazonas,3.057,1/1/2014
2015,Sep,Amazonas,5.882,1/1/2015
2016,Sep,Amazonas,3.119,1/1/2016
2017,Sep,Amazonas,4.033,1/1/2017
1998,Oct,Amazonas,83,1/1/1998
1999,Oct,Amazonas,479,1/1/1999
2000,Oct,Amazonas,145,1/1/2000
2001,Oct,Amazonas,332,1/1/2001
2002,Oct,Amazonas,695,1/1/2002
2003,Oct,Amazonas,725,1/1/2003
2004,Oct,Amazonas,710,1/1/2004
2005,Oct,Amazonas,545,1/1/2005
2006,Oct,Amazonas,721,1/1/2006
2007,Oct,Amazonas,215,1/1/2007
2008,Oct,Amazonas,632,1/1/2008
2009,Oct,Amazonas,2.189,1/1/2009
2010,Oct,Amazonas,889,1/1/2010
2011,Oct,Amazonas,694,1/1/2011
2012,Oct,Amazonas,1.238,1/1/2012
2013,Oct,Amazonas,1.202,1/1/2013
2014,Oct,Amazonas,952,1/1/2014
2015,Oct,Amazonas,2.494,1/1/2015
2016,Oct,Amazonas,2.105,1/1/2016
2017,Oct,Amazonas,1.581,1/1/2017
1998,Nov,Amazonas,6,1/1/1998
1999,Nov,Amazonas,32,1/1/1999
2000,Nov,Amazonas,27,1/1/2000
2001,Nov,Amazonas,244,1/1/2001
2002,Nov,Amazonas,259,1/1/2002
2003,Nov,Amazonas,169,1/1/2003
2004,Nov,Amazonas,209,1/1/2004
2005,Nov,Amazonas,261,1/1/2005
2006,Nov,Amazonas,59,1/1/2006
2007,Nov,Amazonas,90,1/1/2007
2008,Nov,Amazonas,39,1/1/2008
2009,Nov,Amazonas,973,1/1/2009
2010,Nov,Amazonas,354,1/1/2010
2011,Nov,Amazonas,399,1/1/2011
2012,Nov,Amazonas,682,1/1/2012
2013,Nov,Amazonas,220,1/1/2013
2014,Nov,Amazonas,,1/1/2014
2015,Nov,Amazonas,1.054,1/1/2015
2016,Nov,Amazonas,591,1/1/2016
2017,Nov,Amazonas,552,1/1/2017
1998,Dec,Amazonas,196,1/1/1998
1999,Dec,Amazonas,2,1/1/1999
2000,Dec,Amazonas,60,1/1/2000
2001,Dec,Amazonas,22,1/1/2001
2002,Dec,Amazonas,44,1/1/2002
2003,Dec,Amazonas,147,1/1/2003
2004,Dec,Amazonas,53,1/1/2004
2005,Dec,Amazonas,17,1/1/2005
2006,Dec,Amazonas,23,1/1/2006
2007,Dec,Amazonas,7,1/1/2007
2008,Dec,Amazonas,0,1/1/2008
2009,Dec,Amazonas,102,1/1/2009
2010,Dec,Amazonas,123,1/1/2010
2011,Dec,Amazonas,121,1/1/2011
2012,Dec,Amazonas,80,1/1/2012
2013,Dec,Amazonas,236,1/1/2013
2014,Dec,Amazonas,293,1/1/2014
2015,Dec,Amazonas,565,1/1/2015
2016,Dec,Amazonas,133,1/1/2016
1998,Jan,Bahia,0,1/1/1998
1999,Jan,Bahia,114,1/1/1999
2000,Jan,Bahia,31,1/1/2000
2001,Jan,Bahia,24,1/1/2001
2002,Jan,Bahia,125,1/1/2002
2003,Jan,Bahia,439,1/1/2003
2004,Jan,Bahia,158,1/1/2004
2005,Jan,Bahia,303,1/1/2005
2006,Jan,Bahia,225,1/1/2006
2007,Jan,Bahia,373,1/1/2007
2008,Jan,Bahia,314,1/1/2008
2009,Jan,Bahia,177,1/1/2009
2010,Jan,Bahia,297,1/1/2010
2011,Jan,Bahia,101,1/1/2011
2012,Jan,Bahia,179,1/1/2012
2013,Jan,Bahia,125,1/1/2013
2014,Jan,Bahia,132,1/1/2014
2015,Jan,Bahia,256,1/1/2015
2016,Jan,Bahia,285,1/1/2016
2017,Jan,Bahia,154,1/1/2017
1998,Feb,Bahia,0,1/1/1998
1999,Feb,Bahia,157,1/1/1999
2000,Feb,Bahia,32,1/1/2000
2001,Feb,Bahia,101,1/1/2001
2002,Feb,Bahia,204,1/1/2002
2003,Feb,Bahia,223,1/1/2003
2004,Feb,Bahia,122,1/1/2004
2005,Feb,Bahia,143,1/1/2005
2006,Feb,Bahia,277,1/1/2006
2007,Feb,Bahia,113,1/1/2007
2008,Feb,Bahia,235,1/1/2008
2009,Feb,Bahia,117,1/1/2009
2010,Feb,Bahia,206,1/1/2010
2011,Feb,Bahia,156,1/1/2011
2012,Feb,Bahia,200,1/1/2012
2013,Feb,Bahia,231,1/1/2013
2014,Feb,Bahia,107,1/1/2014
2015,Feb,Bahia,143,1/1/2015
2016,Feb,Bahia,418,1/1/2016
2017,Feb,Bahia,100,1/1/2017
1998,Mar,Bahia,0,1/1/1998
1999,Mar,Bahia,83,1/1/1999
2000,Mar,Bahia,65,1/1/2000
2001,Mar,Bahia,4,1/1/2001
2002,Mar,Bahia,146,1/1/2002
2003,Mar,Bahia,274,1/1/2003
2004,Mar,Bahia,115,1/1/2004
2005,Mar,Bahia,158,1/1/2005
2006,Mar,Bahia,199,1/1/2006
2007,Mar,Bahia,141,1/1/2007
2008,Mar,Bahia,135,1/1/2008
2009,Mar,Bahia,249,1/1/2009
2010,Mar,Bahia,156,1/1/2010
2011,Mar,Bahia,90,1/1/2011
2012,Mar,Bahia,404,1/1/2012
2013,Mar,Bahia,363,1/1/2013
2014,Mar,Bahia,148,1/1/2014
2015,Mar,Bahia,229,1/1/2015
2016,Mar,Bahia,281,1/1/2016
2017,Mar,Bahia,163,1/1/2017
1998,Apr,Bahia,0,1/1/1998
1999,Apr,Bahia,55,1/1/1999
2000,Apr,Bahia,23,1/1/2000
2001,Apr,Bahia,26,1/1/2001
2002,Apr,Bahia,110,1/1/2002
2003,Apr,Bahia,376,1/1/2003
2004,Apr,Bahia,89,1/1/2004
2005,Apr,Bahia,76,1/1/2005
2006,Apr,Bahia,60,1/1/2006
2007,Apr,Bahia,64,1/1/2007
2008,Apr,Bahia,151,1/1/2008
2009,Apr,Bahia,40,1/1/2009
2010,Apr,Bahia,103,1/1/2010
2011,Apr,Bahia,149,1/1/2011
2012,Apr,Bahia,396,1/1/2012
2013,Apr,Bahia,108,1/1/2013
2014,Apr,Bahia,183,1/1/2014
2015,Apr,Bahia,190,1/1/2015
2016,Apr,Bahia,,1/1/2016
2017,Apr,Bahia,94,1/1/2017
1998,May,Bahia,0,1/1/1998
1999,May,Bahia,76,1/1/1999
2000,May,Bahia,71,1/1/2000
2001,May,Bahia,,1/1/2001
2002,May,Bahia,166,1/1/2002
2003,May,Bahia,106,1/1/2003
2004,May,Bahia,124,1/1/2004
2005,May,Bahia,120,1/1/2005
2006,May,Bahia,43,1/1/2006
2007,May,Bahia,161,1/1/2007
2008,May,Bahia,56,1/1/2008
2009,May,Bahia,34,1/1/2009
2010,May,Bahia,198,1/1/2010
2011,May,Bahia,189,1/1/2011
2012,May,Bahia,326,1/1/2012
2013,May,Bahia,141,1/1/2013
2014,May,Bahia,224,1/1/2014
2015,May,Bahia,144,1/1/2015
2016,May,Bahia,259,1/1/2016
2017,May,Bahia,121,1/1/2017
1998,Jun,Bahia,55,1/1/1998
1999,Jun,Bahia,64,1/1/1999
2000,Jun,Bahia,178,1/1/2000
2001,Jun,Bahia,98,1/1/2001
2002,Jun,Bahia,118,1/1/2002
2003,Jun,Bahia,140,1/1/2003
2004,Jun,Bahia,289,1/1/2004
2005,Jun,Bahia,211,1/1/2005
2006,Jun,Bahia,68,1/1/2006
2007,Jun,Bahia,270,1/1/2007
2008,Jun,Bahia,72,1/1/2008
2009,Jun,Bahia,92,1/1/2009
2010,Jun,Bahia,192,1/1/2010
2011,Jun,Bahia,345,1/1/2011
2012,Jun,Bahia,385,1/1/2012
2013,Jun,Bahia,208,1/1/2013
2014,Jun,Bahia,243,1/1/2014
2015,Jun,Bahia,242,1/1/2015
2016,Jun,Bahia,416,1/1/2016
2017,Jun,Bahia,329,1/1/2017
1998,Jul,Bahia,219,1/1/1998
1999,Jul,Bahia,107,1/1/1999
2000,Jul,Bahia,202,1/1/2000
2001,Jul,Bahia,248,1/1/2001
2002,Jul,Bahia,,1/1/2002
2003,Jul,Bahia,261,1/1/2003
2004,Jul,Bahia,310,1/1/2004
2005,Jul,Bahia,269,1/1/2005
2006,Jul,Bahia,229,1/1/2006
2007,Jul,Bahia,811,1/1/2007
2008,Jul,Bahia,271,1/1/2008
2009,Jul,Bahia,321,1/1/2009
2010,Jul,Bahia,519,1/1/2010
2011,Jul,Bahia,578,1/1/2011
2012,Jul,Bahia,906,1/1/2012
2013,Jul,Bahia,362,1/1/2013
2014,Jul,Bahia,249,1/1/2014
2015,Jul,Bahia,,1/1/2015
2016,Jul,Bahia,345,1/1/2016
2017,Jul,Bahia,300,1/1/2017
1998,Aug,Bahia,815,1/1/1998
1999,Aug,Bahia,453,1/1/1999
2000,Aug,Bahia,633,1/1/2000
2001,Aug,Bahia,979,1/1/2001
2002,Aug,Bahia,1.827,1/1/2002
2003,Aug,Bahia,1.039,1/1/2003
2004,Aug,Bahia,1.43,1/1/2004
2005,Aug,Bahia,948,1/1/2005
2006,Aug,Bahia,995,1/1/2006
2007,Aug,Bahia,3.734,1/1/2007
2008,Aug,Bahia,611,1/1/2008
2009,Aug,Bahia,439,1/1/2009
2010,Aug,Bahia,2.423,1/1/2010
2011,Aug,Bahia,1.795,1/1/2011
2012,Aug,Bahia,1.835,1/1/2012
2013,Aug,Bahia,610,1/1/2013
2014,Aug,Bahia,674,1/1/2014
2015,Aug,Bahia,829,1/1/2015
2016,Aug,Bahia,724,1/1/2016
2017,Aug,Bahia,1.018,1/1/2017
1998,Sep,Bahia,2.718,1/1/1998
1999,Sep,Bahia,,1/1/1999
2000,Sep,Bahia,2.285,1/1/2000
2001,Sep,Bahia,3.964,1/1/2001
2002,Sep,Bahia,6.439,1/1/2002
2003,Sep,Bahia,8.847,1/1/2003
2004,Sep,Bahia,6.433,1/1/2004
2005,Sep,Bahia,4.066,1/1/2005
2006,Sep,Bahia,3.006,1/1/2006
2007,Sep,Bahia,7.438,1/1/2007
2008,Sep,Bahia,4.837,1/1/2008
2009,Sep,Bahia,3.61,1/1/2009
2010,Sep,Bahia,5.323,1/1/2010
2011,Sep,Bahia,7.086,1/1/2011
2012,Sep,Bahia,7.495,1/1/2012
2013,Sep,Bahia,2.681,1/1/2013
2014,Sep,Bahia,2.604,1/1/2014
2015,Sep,Bahia,7.956,1/1/2015
2016,Sep,Bahia,1.819,1/1/2016
2017,Sep,Bahia,1.791,1/1/2017
1998,Oct,Bahia,1.969,1/1/1998
1999,Oct,Bahia,1.307,1/1/1999
2000,Oct,Bahia,3.35,1/1/2000
2001,Oct,Bahia,1.687,1/1/2001
2002,Oct,Bahia,5.414,1/1/2002
2003,Oct,Bahia,4.264,1/1/2003
2004,Oct,Bahia,4.81,1/1/2004
2005,Oct,Bahia,8.405,1/1/2005
2006,Oct,Bahia,2.079,1/1/2006
2007,Oct,Bahia,4.981,1/1/2007
2008,Oct,Bahia,7.691,1/1/2008
2009,Oct,Bahia,2.552,1/1/2009
2010,Oct,Bahia,5.264,1/1/2010
2011,Oct,Bahia,2.166,1/1/2011
2012,Oct,Bahia,4.607,1/1/2012
2013,Oct,Bahia,1.969,1/1/2013
2014,Oct,Bahia,2.763,1/1/2014
2015,Oct,Bahia,4.989,1/1/2015
2016,Oct,Bahia,1.415,1/1/2016
2017,Oct,Bahia,4.005,1/1/2017
1998,Nov,Bahia,49,1/1/1998
1999,Nov,Bahia,49,1/1/1999
2000,Nov,Bahia,114,1/1/2000
2001,Nov,Bahia,699,1/1/2001
2002,Nov,Bahia,1.02,1/1/2002
2003,Nov,Bahia,533,1/1/2003
2004,Nov,Bahia,1.736,1/1/2004
2005,Nov,Bahia,1.595,1/1/2005
2006,Nov,Bahia,239,1/1/2006
2007,Nov,Bahia,2.126,1/1/2007
2008,Nov,Bahia,3.175,1/1/2008
2009,Nov,Bahia,402,1/1/2009
2010,Nov,Bahia,605,1/1/2010
2011,Nov,Bahia,,1/1/2011
2012,Nov,Bahia,168,1/1/2012
2013,Nov,Bahia,288,1/1/2013
2014,Nov,Bahia,348,1/1/2014
2015,Nov,Bahia,1.705,1/1/2015
2016,Nov,Bahia,408,1/1/2016
2017,Nov,Bahia,174,1/1/2017
1998,Dec,Bahia,82,1/1/1998
1999,Dec,Bahia,37,1/1/1999
2000,Dec,Bahia,24,1/1/2000
2001,Dec,Bahia,158,1/1/2001
2002,Dec,Bahia,848,1/1/2002
2003,Dec,Bahia,710,1/1/2003
2004,Dec,Bahia,423,1/1/2004
2005,Dec,Bahia,116,1/1/2005
2006,Dec,Bahia,169,1/1/2006
2007,Dec,Bahia,259,1/1/2007
2008,Dec,Bahia,52,1/1/2008
2009,Dec,Bahia,308,1/1/2009
2010,Dec,Bahia,226,1/1/2010
2011,Dec,Bahia,230,1/1/2011
2012,Dec,Bahia,477,1/1/2012
2013,Dec,Bahia,131,1/1/2013
2014,Dec,Bahia,144,1/1/2014
2015,Dec,Bahia,1.408,1/1/2015
2016,Dec,Bahia,164,1/1/2016
1998,Jan,Ceara,0,1/1/1998
1999,Jan,Ceara,47,1/1/1999
2000,Jan,Ceara,1,1/1/2000
2001,Jan,Ceara,11,1/1/2001
2002,Jan,Ceara,33,1/1/2002
2003,Jan,Ceara,264,1/1/2003
2004,Jan,Ceara,143,1/1/2004
2005,Jan,Ceara,384,1/1/2005
2006,Jan,Ceara,211,1/1/2006
2007,Jan,Ceara,304,1/1/2007
2008,Jan,Ceara,166,1/1/2008
2009,Jan,Ceara,347,1/1/2009
2010,Jan,Ceara,288,1/1/2010
2011,Jan,Ceara,32,1/1/2011
2012,Jan,Ceara,273,1/1/2012
2013,Jan,Ceara,103,1/1/2013
2014,Jan,Ceara,115,1/1/2014
2015,Jan,Ceara,207,1/1/2015
2016,Jan,Ceara,100,1/1/2016
2017,Jan,Ceara,91,1/1/2017
1998,Feb,Ceara,0,1/1/1998
1999,Feb,Ceara,16,1/1/1999
2000,Feb,Ceara,6,1/1/2000
2001,Feb,Ceara,0,1/1/2001
2002,Feb,Ceara,75,1/1/2002
2003,Feb,Ceara,9,1/1/2003
2004,Feb,Ceara,5,1/1/2004
2005,Feb,Ceara,25,1/1/2005
2006,Feb,Ceara,23,1/1/2006
2007,Feb,Ceara,3,1/1/2007
2008,Feb,Ceara,12,1/1/2008
2009,Feb,Ceara,8,1/1/2009
2010,Feb,Ceara,63,1/1/2010
2011,Feb,Ceara,2,1/1/2011
2012,Feb,Ceara,41,1/1/2012
2013,Feb,Ceara,49,1/1/2013
2014,Feb,Ceara,18,1/1/2014
2015,Feb,Ceara,25,1/1/2015
2016,Feb,Ceara,,1/1/2016
2017,Feb,Ceara,9,1/1/2017
1998,Mar,Ceara,0,1/1/1998
1999,Mar,Ceara,30,1/1/1999
2000,Mar,Ceara,9,1/1/2000
2001,Mar,Ceara,0,1/1/2001
2002,Mar,Ceara,17,1/1/2002
2003,Mar,Ceara,3,1/1/2003
2004,Mar,Ceara,1,1/1/2004
2005,Mar,Ceara,5,1/1/2005
2006,Mar,Ceara,3,1/1/2006
2007,Mar,Ceara,2,1/1/2007
2008,Mar,Ceara,2,1/1/2008
2009,Mar,Ceara,3,1/1/2009
2010,Mar,Ceara,40,1/1/2010
2011,Mar,Ceara,6,1/1/2011
2012,Mar,Ceara,10,1/1/2012
2013,Mar,Ceara,17,1/1/2013
2014,Mar,Ceara,6,1/1/2014
2015,Mar,Ceara,20,1/1/2015
2016,Mar,Ceara,4,1/1/2016
2017,Mar,Ceara,4,1/1/2017
1998,Apr,Ceara,0,1/1/1998
1999,Apr,Ceara,6,1/1/1999
2000,Apr,Ceara,15,1/1/2000
2001,Apr,Ceara,2,1/1/2001
2002,Apr,Ceara,5,1/1/2002
2003,Apr,Ceara,3,1/1/2003
2004,Apr,Ceara,2,1/1/2004
2005,Apr,Ceara,4,1/1/2005
2006,Apr,Ceara,1,1/1/2006
2007,Apr,Ceara,1,1/1/2007
2008,Apr,Ceara,0,1/1/2008
2009,Apr,Ceara,0,1/1/2009
2010,Apr,Ceara,7,1/1/2010
2011,Apr,Ceara,1,1/1/2011
2012,Apr,Ceara,2,1/1/2012
2013,Apr,Ceara,4,1/1/2013
2014,Apr,Ceara,4,1/1/2014
2015,Apr,Ceara,3,1/1/2015
2016,Apr,Ceara,10,1/1/2016
2017,Apr,Ceara,6,1/1/2017
1998,May,Ceara,0,1/1/1998
1999,May,Ceara,5,1/1/1999
2000,May,Ceara,7,1/1/2000
2001,May,Ceara,81,1/1/2001
2002,May,Ceara,10,1/1/2002
2003,May,Ceara,0,1/1/2003
2004,May,Ceara,3,1/1/2004
2005,May,Ceara,1,1/1/2005
2006,May,Ceara,0,1/1/2006
2007,May,Ceara,0,1/1/2007
2008,May,Ceara,0,1/1/2008
2009,May,Ceara,0,1/1/2009
2010,May,Ceara,2,1/1/2010
2011,May,Ceara,0,1/1/2011
2012,May,Ceara,19,1/1/2012
2013,May,Ceara,4,1/1/2013
2014,May,Ceara,4,1/1/2014
2015,May,Ceara,17,1/1/2015
2016,May,Ceara,8,1/1/2016
2017,May,Ceara,9,1/1/2017
1998,Jun,Ceara,1,1/1/1998
1999,Jun,Ceara,16,1/1/1999
2000,Jun,Ceara,16,1/1/2000
2001,Jun,Ceara,38,1/1/2001
2002,Jun,Ceara,13,1/1/2002
2003,Jun,Ceara,2,1/1/2003
2004,Jun,Ceara,1,1/1/2004
2005,Jun,Ceara,6,1/1/2005
2006,Jun,Ceara,0,1/1/2006
2007,Jun,Ceara,1,1/1/2007
2008,Jun,Ceara,1,1/1/2008
2009,Jun,Ceara,0,1/1/2009
2010,Jun,Ceara,3,1/1/2010
2011,Jun,Ceara,5,1/1/2011
2012,Jun,Ceara,28,1/1/2012
2013,Jun,Ceara,5,1/1/2013
2014,Jun,Ceara,,1/1/2014
2015,Jun,Ceara,22,1/1/2015
2016,Jun,Ceara,45,1/1/2016
2017,Jun,Ceara,23,1/1/2017
1998,Jul,Ceara,76,1/1/1998
1999,Jul,Ceara,83,1/1/1999
2000,Jul,Ceara,18,1/1/2000
2001,Jul,Ceara,146,1/1/2001
2002,Jul,Ceara,12,1/1/2002
2003,Jul,Ceara,14,1/1/2003
2004,Jul,Ceara,16,1/1/2004
2005,Jul,Ceara,14,1/1/2005
2006,Jul,Ceara,1,1/1/2006
2007,Jul,Ceara,11,1/1/2007
2008,Jul,Ceara,3,1/1/2008
2009,Jul,Ceara,7,1/1/2009
2010,Jul,Ceara,44,1/1/2010
